local_topics_sim:analytic,local_topics_sim:innovation,local_topics_sim:technology,global_topics_sim:analytic,global_topics_sim:innovation,global_topics_sim:technology,company,link,tic,edit_sim:analytic,edit_sim:innovation,edit_sim:technology,haskey:analytic,haskey:innovation,haskey:technology,sic,ni
0.5,1.0,0.9999998807907104,-1.8906383514404297,0.9999998211860657,0.9999998211860657,fathom events,https://www.prnewswire.com/news/fathom-events/,FTHM,0.4444444444444444,0.6363636363636364,0.5,0.0,0.0,0.0,6531.0,-12.491
0.5,0.5,0.5,-2.6590280532836914,-1.4250335693359375,-1.6300201416015625,first community bank,https://www.prnewswire.com/news/first-community-bank/,AMBKW,0.3,0.4,0.3,0.0,0.0,0.0,,
0.9999999403953552,0.5,1.0,1.0,-1.3257968425750732,0.9999998211860657,first community corporation,https://www.prnewswire.com/news/first-community-corporation/,FCCO,0.375,0.5454545454545454,0.3,0.0,0.0,0.0,6020.0,15.465
0.5,1.0,1.0,-2.160017490386963,0.9999998211860657,0.9999998211860657,fiscalnote,https://www.prnewswire.com/news/fiscalnote/,,0.625,0.5,0.75,0.0,0.0,0.0,3577.0,-8.69
0.5,1.0,1.0,-1.881460428237915,0.9999998211860657,0.9999998211860657,flagship pioneering,https://www.prnewswire.com/news/flagship-pioneering/,,0.4444444444444444,0.9090909090909091,1.0,0.0,1.0,1.0,3577.0,-8.69
1.0,1.0,0.9999999403953552,1.0,0.9999998211860657,0.9999998211860657,fleishmanhillard inc.,https://www.prnewswire.com/news/fleishmanhillard-inc./,,0.4,0.8,0.4,0.0,0.0,0.0,3577.0,-8.69
0.5,1.0,1.0,-2.160017490386963,0.9999998211860657,0.9999998211860657,future fintech group inc.,https://www.prnewswire.com/news/future-fintech-group-inc./,FTFT,0.5,0.7,1.0,0.0,0.0,1.0,7370.0,-13.595
0.5,1.0,0.5,-2.360797882080078,0.9999998211860657,-1.3424129486083984,g. willi__food international ltd.,https://www.prnewswire.com/news/g.-willi__food-international-ltd./,WILC,0.375,0.7272727272727273,0.3,0.0,0.0,0.0,5140.0,14.501
0.5,0.9999998807907104,1.0,-2.1643717288970947,0.9999998211860657,0.9999998211860657,galmed pharmaceuticals ltd.,https://www.prnewswire.com/news/galmed-pharmaceuticals-ltd./,GLMD,0.75,0.5454545454545454,0.6923076923076923,0.0,0.0,0.0,2836.0,-32.467
0.5,1.0,1.0,-2.0194592475891113,0.9999998211860657,0.9999998211860657,genprex inc.,https://www.prnewswire.com/news/genprex%2C-inc./,GNPX,0.375,0.4166666666666667,0.3,0.0,0.0,0.0,2836.0,-19.596
0.5,1.0,1.0,-2.160017490386963,0.9999998211860657,0.9999998211860657,glancy prongay  murray llp,https://www.prnewswire.com/news/glancy-prongay-%26-murray-llp/,,0.375,0.8,1.0,0.0,0.0,1.0,3577.0,-8.69
0.5,1.0,1.0,-2.147453546524048,0.9999998211860657,0.9999998211860657,glory star new media group holdings limited,https://www.prnewswire.com/news/glory-star-new-media-group-holdings-limited/,GSMG,0.375,0.5,1.0,0.0,0.0,1.0,7822.0,35.287
0.5,0.9999999403953552,0.9999999403953552,-2.22713041305542,0.9999998211860657,0.9999998211860657,gogo inc.,https://www.prnewswire.com/news/gogo-inc./,GOGO,0.625,0.6,1.0,0.0,0.0,1.0,4899.0,152.735
0.5,1.0,1.0,-1.881460428237915,0.9999998211860657,0.9999998211860657,gopro inc.,https://www.prnewswire.com/news/gopro%2C-inc./,GPRO,0.4444444444444444,0.9090909090909091,1.0,0.0,1.0,1.0,3861.0,371.171
